"prompt_id","record_id","domain","publication_status","manifest_completeness","record_prompt_availability","primary_style_observed","in_loop_feedback","post_run_validation","candidate_transfer","principal_caveat","evidence_path"
"acra-synthesis-reproduction","acra-synthesis-reproduction","chemistry","approved","full","full","Ambiguity triage; procedure decomposition; constrained XDL translation; line-mapped critique and minimal repair","Parser and simulation errors; critique agent; human clarification","Human reproduction and wet-lab result reported in the record","Assumption/executability ledger and localized repair","Best-guess exactification can hide unresolved uncertainty","prompts/sources/acra-synthesis-reproduction/; records/acra-synthesis-reproduction.md"
"aila-afmbench","aila-afmbench","physics and materials science","approved","full","full","Capability-routed agents; retrieve-then-modify control code; NEED HELP and FINAL ANSWER handoffs","Router decisions; tool outputs; AFM action results within trajectories","Aggregate benchmark and physical-run outcomes reported in the record","Separate privileged action from interpretation with explicit escalation","Role boundaries are prose rather than enforced capabilities; logs show routing and hypothetical-data fabrication failures","prompts/sources/aila-afmbench/AILA_4.0.py; prompts/sources/aila-afmbench/run-prompts/; records/aila-afmbench.md"
"alab-gpss-spinel-campaign","alab-gpss-spinel-campaign","solid-state chemistry and battery materials","private-rights-review","full","full","Anomaly-first hypothesis generation; minimal decisive experiment; explicit decision rule; outcome reflection","Physical experiment data returned to the hypothesis/reflection cycle","Campaign synthesis and expert interpretation reported in the record","Decisive-test cards and supported/unsupported memory","Uncertainty percentages are heuristic; physical campaign and human constraints confound prompt effects","prompts/sources/alab-gpss-spinel-campaign/agent_prompts.py; records/alab-gpss-spinel-campaign.md"
"aletheia-erdos-sweep","aletheia-erdos-sweep","mathematics","approved","unavailable","partial","NA: exact prompt or reproducible agent template was not located","NA from available prompt content","Human expert grading described in the record","Statement-fidelity and novelty audits are outcome lessons only","Do not code missing prompt features as absent","prompts/aletheia-erdos-sweep.md; records/aletheia-erdos-sweep.md"
"alphaproof-nexus","alphaproof-nexus","mathematics","private-rights-review","representative","representative","Lean compiler loop; compiling checkpoints; helper lemmas; persistent file comments; marked edit regions","Lean compiler preserved; rater-agent feedback described but full prompts/transcripts not preserved","Case-level evaluation summarized in the record","Validator-gated persistence and valid handoffs","Full-featured prover/rater prompts and run transcripts are not preserved","prompts/alphaproof-nexus.md; records/alphaproof-nexus.md"
"astroagents-hypothesis-campaign","astroagents-hypothesis-campaign","astronomy and chemistry","approved","full","full","Planner partitions evidence; specialist hypotheses cite data IDs; accumulator deduplicates; literature and novelty critic iterate","Same-system critic and literature-search output","Later expert ratings reported in the record","Claim-level evidence partitioning and novelty-conditioned critique","Several declared feedback inputs are not interpolated into scientist prompts; critic loop is only partly wired","prompts/sources/astroagents-hypothesis-campaign/AstroAgents.py; records/astroagents-hypothesis-campaign.md"
"bartnik-admissible-extension","bartnik-admissible-extension-attempt","mathematics and physics","approved","exact","full","Exact theorem contract; mechanism portfolio; dependency graph; blocked-route registry; domain-specific adversarial audit","Same-model adversarial agents and route registry","Human artifact review and unsuccessful outcome reported in the record","Precise failure checklist and theorem-obligation DAG","Assumes affirmative truth; one fallback sentence conflicts with a later no-return-without-proof rule; lacks an information-gain gate","prompts/bartnik-admissible-extension.md; records/bartnik-admissible-extension-attempt.md"
"bixbench-trajectories","bixbench-trajectories","bioinformatics and biological data analysis","approved","partial","full","Answer/grader schemas; notebook evidence localization; arguments for and against options","Automated exact or model graders","Benchmark-level results reported in the record","Evidence-addressable evaluation and alternative-wise critique","Underlying tasks are external; one template requires long question_analysis while also prohibiting extra output; model grading is not independent scientific validation","prompts/sources/bixbench-trajectories/prompts.py; records/bixbench-trajectories.md"
"cycle-double-cover","cycle-double-cover","mathematics","private-rights-review","exact","full","Exact theorem contract; mechanism portfolio; route registry; adversarial edge-case checklist","Same-model adversarial agents","Later author-reviewed Lean formalization reported in the record","Research-management protocol and statement-fidelity gate","No full run transcript; assumes affirmative truth; a fallback instruction conflicts with a later no-return-without-proof rule; includes an unenforceable time floor","prompts/cycle-double-cover.md; records/cycle-double-cover.md"
"earthlink-atlantic-nino-attempt","earthlink-atlantic-nino-attempt","climate science","private-rights-review","exact","full","Concise numeric target, lead time, model families, precursor search, and mechanism request","No explicit in-loop validator in the preserved prompt","Historical hindcast metrics and unsuccessful outcome described in the record","Exact objective target plus mechanism requirement","Prompt omits data vintages, temporal splits, leakage controls, uncertainty, and preregistered baselines","prompts/earthlink-atlantic-nino-attempt.md; records/earthlink-atlantic-nino-attempt.md"
